company,name,fuel,km_driven,mileage,torque,seats,engine,Insurance_id,Insurance
Maruti,Maruti Swift Dzire VDI,Diesel,145500,23.4 kmpl,190Nm@ 2000rpm,5,1248 CC,11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Honda,Honda City 2017-2020 EXi,Petrol,120000,21.14 kmpl,250Nm@ 1500-2500rpm,5,1498 CC,11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Hyundai,Hyundai i20 Sportz Diesel,Diesel,140000,17.7 kmpl,"12.7@ 2,700(kgm@ rpm)",5,1497 CC,11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Maruti,Maruti Swift VXI BSIII,Petrol,127000,23.0 kmpl,22.4 kgm at 1750-2750rpm,5,1396 CC,11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Hyundai,Hyundai Xcent 1.2 VTVT E Plus,Petrol,120000,16.1 kmpl,"11.5@ 4,500(kgm@ rpm)",5,1298 CC,11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Maruti,Maruti Wagon R LXI DUO BSIII,LPG,45000,20.14 kmpl,113.75nm@ 4000rpm,5,1197 CC,7,"Comapany Name:HDFC Ergo,Policy Plan:1200000"
Maruti,Maruti 800 DX BSII,Petrol,175000,17.3 km/kg,"7.8@ 4,500(kgm@ rpm)",4,1061 CC,7,"Comapany Name:HDFC Ergo,Policy Plan:1200000"
Toyota,Toyota Etios VXD,Diesel,5000,16.1 kmpl,59Nm@ 2500rpm,5,796 CC,11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Ford,Ford Figo Diesel Celebration Edition,Diesel,90000,23.59 kmpl,170Nm@ 1800-2400rpm,5,1364 CC,11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Renault,Renault Duster 110PS Diesel RxL,Diesel,169000,20.0 kmpl,160Nm@ 2000rpm,5,1399 CC,11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Maruti,Maruti Zen LX,Petrol,68000,19.01 kmpl,248Nm@ 2250rpm,5,1461 CC,11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Maruti,Maruti Swift Dzire VDi,Diesel,100000,17.3 kmpl,78Nm@ 4500rpm,5,993 CC,11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Mahindra,Mahindra KUV 100 mFALCON G80 K8 5str,Petrol,140000,19.3 kmpl,190Nm@ 2000rpm,5,1061 CC,11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Maruti,Maruti Ertiga SHVS VDI,Diesel,80000,24.4 kmpl,,7,1198 CC,11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Hyundai,Hyundai i20 1.4 CRDi Asta,Diesel,90000,12.99 kmpl,84Nm@ 3500rpm,5,1248 CC,11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Maruti,Maruti Alto LX,Petrol,40000,23.59 kmpl,115Nm@ 3500-3600rpm,5,1396 CC,11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Hyundai,Hyundai i20 2015-2017 Asta 1.4 CRDi,Diesel,70000,28.4 kmpl,200Nm@ 1750rpm,5,796 CC,11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Mahindra,Mahindra Verito 1.5 D4 BSIII,Diesel,53000,12.8 kmpl,22.4 kgm at 1750-2750rpm,5,1396 CC,11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Honda,Honda WR-V i-DTEC VX,Diesel,80000,23.08 kmpl,62Nm@ 3000rpm,5,1461 CC,7,"Comapany Name:HDFC Ergo,Policy Plan:1200000"
Maruti,Maruti Swift Dzire ZDI,Diesel,100000,16.1 kmpl,219.7Nm@ 1500-2750rpm,5,1498 CC,7,"Comapany Name:HDFC Ergo,Policy Plan:1200000"
Maruti,Maruti SX4 ZDI,Diesel,100000,23.4 kmpl,160Nm@ 2000rpm,5,1248 CC,11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Tata,Tata Tigor 2017-2020 XZ,Petrol,50000,20.14 kmpl,200Nm@ 1750rpm,5,1248 CC,11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Maruti,Maruti Baleno Delta 1.2,Petrol,40000,21.0 kmpl,190Nm@ 2000rpm,5,1199 CC,11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Maruti,Maruti Alto 800 LXI,Petrol,72000,16.1 kmpl,200Nm@ 1750rpm,5,1197 CC,11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Maruti,Maruti Wagon R LXI Minor,Petrol,35000,25.2 kmpl,114Nm@ 3500rpm,5,796 CC,7,"Comapany Name:HDFC Ergo,Policy Plan:1200000"
Maruti,Maruti Omni E MPI STD BS IV,Petrol,45000,19.1 kmpl,115Nm@ 4000rpm,8,1248 CC,11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Maruti,Maruti Vitara Brezza LDi Option,Diesel,28000,16.1 kmpl,69Nm@ 3500rpm,5,1061 CC,11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
